"ID","GEBV"
"C8P5F6:6","-0.000186050306598964"
"C7P5:F6:8","-0.00033032838198937"
"C3P6F6:15","-0.000504969760106048"
"C8P17F6:6","-0.000289035437760693"
"C10P6F6:3","-0.000408838677791927"
"C2P1F6:8","-0.000364212705886193"
"C10P9F6:14","-0.000303773356642115"
"C8P2F6:2","-0.000221413997164331"
"C10P5F6:5","-0.000407672950350636"
"C8P34F6:13","-0.000416656816294119"
"C4P8F6:15","-0.000400475619836378"
"C10P1F6:3","-0.000293231637542562"
"C10P6F6:18","-0.000467068128852795"
"C2P1F6:13","-0.000387830398985159"
"C4P26F6:11","-0.000550479858494412"
"C1P8F6:1","-0.000455251524986454"
"C8P17F6:2","-0.000416544465013593"
"C9P1F6:4","-0.000306005534820629"
"C8P2F6:3","-0.000387312351644019"
"C8P30F6:7","-0.000408991886263676"
"C5P3F6:10","-0.000370082064502163"
"C4P7F6:47","-0.000490446624270473"
"C10P5F6:11","-0.000461321205786288"
"C8P30F6:17","-0.00040134083703752"
"C4P1F6:12","-0.000500568303454112"
"C8P14F6:3","-0.000444561707863904"
"C8P22F6:6","-0.000323214261685854"
"C8P5F6:10","-0.000304284330036596"
"C7P4F6:9","-0.000361683315053949"
"C1P7F6:2","-0.000271631487398781"
"C4P26F6:6","-0.000435076117360872"
"C2P7F6:5","-0.00041979986442719"
"C10P6F6:2","-0.000311344091290571"
"C2P1F6:4","-0.000449180418756833"
"C3P2F6:10","-0.00032731272686438"
"C2P3F6:11","-0.00035336497406901"
"C8P5F6:3","-0.000363220385875022"
"C3P3F6:?","-0.000443500256805997"
"C8P4F6:2","-0.000311395266558675"
"C4P27F6:2","-0.00042073166418121"
"C8P29F6:6","-0.000342238033836478"
"C8P17F6:8","-0.000243953368204505"
"C9p14F6:5","-0.00037728657270664"
"C9P11F6:4","-0.00026276467203277"
"C10P6F6:1","-0.000462065381187701"
"C9P1F6:6","-0.000400437011944142"
"C5P3F6:12","-0.000497032342680137"
"C2P3F6:4","-0.000207067127823517"
"C3P7F6:12","-0.00042569016685053"
"C3P2F6:1","-0.000454424757141571"
"C8P22F6:3","-0.000483848537386098"
"C8P28F6:3","-0.000400247006710795"
"C8P17F6:16","-0.000221736052792483"
"C3P10F6:17","-0.000439094216435932"
"C8P13F6:2","-0.000131395494792939"
"C8P6F6:7","-0.000329483283151209"
"C2P4F6:18","-0.000316541330578308"
"C2P4F6:2","-0.000371178072896356"
"C7P5F6:7","-0.000476117542926028"
"C8P22F6:20","-0.000556518907987743"
"C7P2F6:10","-0.000388466466928442"
"C8P29F6:7","-0.000469176978931488"
"C3P7F6:7","-0.000165521435202235"
"C3P8F6:2","-0.000251082019203268"
"C2P4F6:15","-0.000244037860587666"
"C8P17F6:10","-0.000410327693038295"
"C10P5F6:6","-0.000495931789296189"
"C3P3F6:28","-0.000389374658867364"
"C3P3F6:1","-0.000441190720986724"
"C5P5F6:2","-0.000458492913716019"
"C4P26F6:7","-0.000480523739239714"
"C5P3F6:7","-0.000350465385475671"
"C4P28F6:10","-0.000464134055396577"
"C5P6F6:1","-0.00019564157603015"
"C8P11F6:9","-0.000287475137493693"
"C4P8F6:16","-0.00039898705236478"
"C4P33F6:5","-0.000482363831107298"
"C5P1F6:4","-0.000469718265060123"
