"","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety"
"1",0.683333333333333,0.686527777777778,0.687652777777778,0.68975,0.677222222222222,0.686111111111111,0.7125,0.744444444444444,0.833333333333333,0.683333333333333,0.686527777777778,0.687652777777778,0.68975,0.677222222222222,0.686111111111111,0.7125,0.744444444444444,0.833333333333333,0.683333333333333,0.686527777777778,0.687652777777778,0.68975,0.677222222222222,0.686111111111111,0.7125,0.744444444444444,0.833333333333333
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",0.6,0.596805555555556,0.596756944444444,0.5195,0.541111111111111,0.553472222222222,0.580555555555555,0.516666666666667,0.666666666666667,0.6,0.596805555555556,0.596756944444444,0.5195,0.541111111111111,0.553472222222222,0.580555555555555,0.516666666666667,0.666666666666667,0.6,0.596805555555556,0.596756944444444,0.5195,0.541111111111111,0.553472222222222,0.580555555555555,0.516666666666667,0.666666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",0.616666666666667,0.615,0.614118055555556,0.624416666666667,0.638888888888889,0.670138888888889,0.655555555555555,0.597222222222222,0.833333333333333,0.616666666666667,0.615,0.614118055555556,0.624416666666667,0.638888888888889,0.670138888888889,0.655555555555555,0.597222222222222,0.833333333333333,0.616666666666667,0.615,0.614118055555556,0.624416666666667,0.638888888888889,0.670138888888889,0.655555555555555,0.597222222222222,0.833333333333333
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",0.683333333333333,0.678611111111111,0.678388888888889,0.706083333333333,0.712222222222222,0.723611111111111,0.719444444444444,0.838888888888889,0.833333333333333,0.683333333333333,0.678611111111111,0.678388888888889,0.706083333333333,0.712222222222222,0.723611111111111,0.719444444444444,0.838888888888889,0.833333333333333,0.683333333333333,0.678611111111111,0.678388888888889,0.706083333333333,0.712222222222222,0.723611111111111,0.719444444444444,0.838888888888889,0.833333333333333
"17",0.833333333333333,0.835277777777778,0.83475,0.8675,0.861666666666667,0.899305555555556,0.873611111111111,0.847222222222222,1,0.833333333333333,0.835277777777778,0.83475,0.8675,0.861666666666667,0.899305555555556,0.873611111111111,0.847222222222222,1,0.833333333333333,0.835277777777778,0.83475,0.8675,0.861666666666667,0.899305555555556,0.873611111111111,0.847222222222222,1
"18",0.666666666666667,0.66625,0.664868055555556,0.714333333333333,0.726666666666667,0.720138888888889,0.722222222222222,0.777777777777778,1,0.666666666666667,0.66625,0.664868055555556,0.714333333333333,0.726666666666667,0.720138888888889,0.722222222222222,0.777777777777778,1,0.666666666666667,0.66625,0.664868055555556,0.714333333333333,0.726666666666667,0.720138888888889,0.722222222222222,0.777777777777778,1
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
