"","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety"
"1",0.75,0.750694444444444,0.751326388888889,0.759,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1,0.75,0.750694444444444,0.751326388888889,0.759,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1,0.75,0.750694444444444,0.751326388888889,0.759,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1
"2",0.75,0.750833333333333,0.751583333333333,0.7595,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1,0.75,0.750833333333333,0.751583333333333,0.7595,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1,0.75,0.750833333333333,0.751583333333333,0.7595,0.772222222222222,0.760416666666667,0.786111111111111,0.805555555555556,1
"3",0.75,0.750416666666667,0.750027777777778,0.765,0.755555555555556,0.763888888888889,0.751388888888889,0.761111111111111,0.833333333333333,0.75,0.750416666666667,0.750027777777778,0.765,0.755555555555556,0.763888888888889,0.751388888888889,0.761111111111111,0.833333333333333,0.75,0.750416666666667,0.750027777777778,0.765,0.755555555555556,0.763888888888889,0.751388888888889,0.761111111111111,0.833333333333333
"4",0.766666666666667,0.761666666666667,0.762902777777778,0.764833333333333,0.785,0.768055555555555,0.754166666666667,0.755555555555556,0.833333333333333,0.766666666666667,0.761666666666667,0.762902777777778,0.764833333333333,0.785,0.768055555555555,0.754166666666667,0.755555555555556,0.833333333333333,0.766666666666667,0.761666666666667,0.762902777777778,0.764833333333333,0.785,0.768055555555555,0.754166666666667,0.755555555555556,0.833333333333333
"5",0.766666666666667,0.762361111111111,0.763708333333333,0.768416666666667,0.784444444444444,0.769444444444444,0.759722222222222,0.775,0.833333333333333,0.766666666666667,0.762361111111111,0.763708333333333,0.768416666666667,0.784444444444444,0.769444444444444,0.759722222222222,0.775,0.833333333333333,0.766666666666667,0.762361111111111,0.763708333333333,0.768416666666667,0.784444444444444,0.769444444444444,0.759722222222222,0.775,0.833333333333333
"6",0.783333333333333,0.778333333333333,0.779506944444444,0.792166666666667,0.803888888888889,0.778472222222222,0.794444444444445,0.8,0.833333333333333,0.783333333333333,0.778333333333333,0.779506944444444,0.792166666666667,0.803888888888889,0.778472222222222,0.794444444444445,0.8,0.833333333333333,0.783333333333333,0.778333333333333,0.779506944444444,0.792166666666667,0.803888888888889,0.778472222222222,0.794444444444445,0.8,0.833333333333333
"7",0.8,0.80125,0.800534722222222,0.81175,0.822777777777778,0.813194444444444,0.770833333333333,0.794444444444445,0.833333333333333,0.8,0.80125,0.800534722222222,0.81175,0.822777777777778,0.813194444444444,0.770833333333333,0.794444444444445,0.833333333333333,0.8,0.80125,0.800534722222222,0.81175,0.822777777777778,0.813194444444444,0.770833333333333,0.794444444444445,0.833333333333333
"8",0.8,0.796944444444444,0.7979375,0.8145,0.824444444444444,0.790277777777778,0.829166666666667,0.827777777777778,0.833333333333333,0.8,0.796944444444444,0.7979375,0.8145,0.824444444444444,0.790277777777778,0.829166666666667,0.827777777777778,0.833333333333333,0.8,0.796944444444444,0.7979375,0.8145,0.824444444444444,0.790277777777778,0.829166666666667,0.827777777777778,0.833333333333333
"9",0.783333333333333,0.78,0.780034722222222,0.791,0.799444444444444,0.770833333333333,0.759722222222222,0.75,0.833333333333333,0.783333333333333,0.78,0.780034722222222,0.791,0.799444444444444,0.770833333333333,0.759722222222222,0.75,0.833333333333333,0.783333333333333,0.78,0.780034722222222,0.791,0.799444444444444,0.770833333333333,0.759722222222222,0.75,0.833333333333333
"10",0.816666666666667,0.821388888888889,0.821131944444444,0.795916666666667,0.796111111111111,0.804861111111111,0.775,0.783333333333333,0.833333333333333,0.816666666666667,0.821388888888889,0.821131944444444,0.795916666666667,0.796111111111111,0.804861111111111,0.775,0.783333333333333,0.833333333333333,0.816666666666667,0.821388888888889,0.821131944444444,0.795916666666667,0.796111111111111,0.804861111111111,0.775,0.783333333333333,0.833333333333333
