"","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety","NP","F1","F2","F3","F4","F5","PYT","AYT","Variety"
"1",0.8,0.798888888888889,0.796854166666667,0.804666666666667,0.821666666666667,0.823611111111111,0.805555555555556,0.805555555555556,0.833333333333333,0.8,0.798888888888889,0.796854166666667,0.804666666666667,0.821666666666667,0.823611111111111,0.805555555555556,0.805555555555556,0.833333333333333,0.8,0.798888888888889,0.796854166666667,0.804666666666667,0.821666666666667,0.823611111111111,0.805555555555556,0.805555555555556,0.833333333333333
"2",0.65,0.649861111111111,0.649958333333333,0.720833333333333,0.742222222222222,0.753472222222222,0.702777777777778,0.794444444444445,0.833333333333333,0.65,0.649861111111111,0.649958333333333,0.720833333333333,0.742222222222222,0.753472222222222,0.702777777777778,0.794444444444445,0.833333333333333,0.65,0.649861111111111,0.649958333333333,0.720833333333333,0.742222222222222,0.753472222222222,0.702777777777778,0.794444444444445,0.833333333333333
"3",0.6,0.603333333333333,0.604770833333333,0.611166666666667,0.631111111111111,0.631944444444444,0.580555555555556,0.65,0.666666666666667,0.6,0.603333333333333,0.604770833333333,0.611166666666667,0.631111111111111,0.631944444444444,0.580555555555556,0.65,0.666666666666667,0.6,0.603333333333333,0.604770833333333,0.611166666666667,0.631111111111111,0.631944444444444,0.580555555555556,0.65,0.666666666666667
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",0.65,0.654861111111111,0.655388888888889,0.686916666666667,0.705,0.722222222222222,0.659722222222222,0.691666666666667,0.833333333333333,0.65,0.654861111111111,0.655388888888889,0.686916666666667,0.705,0.722222222222222,0.659722222222222,0.691666666666667,0.833333333333333,0.65,0.654861111111111,0.655388888888889,0.686916666666667,0.705,0.722222222222222,0.659722222222222,0.691666666666667,0.833333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",0.683333333333333,0.684583333333333,0.684243055555556,0.70875,0.725,0.755555555555556,0.855555555555556,0.822222222222222,0.833333333333333,0.683333333333333,0.684583333333333,0.684243055555556,0.70875,0.725,0.755555555555556,0.855555555555556,0.822222222222222,0.833333333333333,0.683333333333333,0.684583333333333,0.684243055555556,0.70875,0.725,0.755555555555556,0.855555555555556,0.822222222222222,0.833333333333333
"12",0.683333333333333,0.682361111111111,0.681722222222222,0.70925,0.725555555555556,0.752083333333333,0.861111111111111,0.838888888888889,0.833333333333333,0.683333333333333,0.682361111111111,0.681722222222222,0.70925,0.725555555555556,0.752083333333333,0.861111111111111,0.838888888888889,0.833333333333333,0.683333333333333,0.682361111111111,0.681722222222222,0.70925,0.725555555555556,0.752083333333333,0.861111111111111,0.838888888888889,0.833333333333333
"13",0.916666666666667,0.911666666666667,0.911631944444445,0.949333333333333,0.953888888888889,0.95625,0.940277777777778,0.944444444444444,1,0.916666666666667,0.911666666666667,0.911631944444445,0.949333333333333,0.953888888888889,0.95625,0.940277777777778,0.944444444444444,1,0.916666666666667,0.911666666666667,0.911631944444445,0.949333333333333,0.953888888888889,0.95625,0.940277777777778,0.944444444444444,1
"14",0.6,0.601666666666667,0.601486111111111,0.646416666666667,0.666111111111111,0.639583333333333,0.586111111111111,0.616666666666667,0.666666666666667,0.6,0.601666666666667,0.601486111111111,0.646416666666667,0.666111111111111,0.639583333333333,0.586111111111111,0.616666666666667,0.666666666666667,0.6,0.601666666666667,0.601486111111111,0.646416666666667,0.666111111111111,0.639583333333333,0.586111111111111,0.616666666666667,0.666666666666667
"15",0.766666666666667,0.769861111111111,0.7691875,0.724416666666667,0.735,0.738194444444444,0.775,0.730555555555556,0.833333333333333,0.766666666666667,0.769861111111111,0.7691875,0.724416666666667,0.735,0.738194444444444,0.775,0.730555555555556,0.833333333333333,0.766666666666667,0.769861111111111,0.7691875,0.724416666666667,0.735,0.738194444444444,0.775,0.730555555555556,0.833333333333333
