<Phenotype>,Days.Flowering,Days.Maturity,Lodging,Chl.B,Total.Chl,Carotenoids,Yield
I06_2575_17,48.66666667,96,5.166666667,13.96560758,37.99176798,4.814780074,804.8393773
I9365_25,46.83333333,85.83333333,4,12.54910727,34.44643675,4.833319601,1260.105852
I9365_31,48.66666667,96,5.666666667,11.40185611,32.70377501,4.732853208,1216.819908
I9365_5,47.16666667,89.66666667,5.833333333,12.57824574,34.76446994,5.594992798,1171.626872
Ibc_301_204,46.66666667,88.66666667,5.333333333,10.98274393,32.59412973,4.926455898,1015.297069
Icb_10,47.5,90.66666667,2.666666667,10.23964472,31.42409712,4.788970744,899.016688
Icb_12,49,104.5,6.166666667,12.9744835,36.07379704,4.981036099,689.0072835
Icb_3,46.83333333,90,6.666666667,16.88335422,39.64034856,3.64326995,704.8333464
Inta_Precoz,48,90,3.5,10.75876939,32.33725629,5.393548261,1208.490952
Ip08_2,49.26794984,108,5.833333333,13.87727984,36.22878331,4.189140657,781.5692086
Ivory,47.38881971,92.37668268,6.426820173,10.33103354,28.72583119,3.831901068,931.1656432
Jackpot,46.9833157,87.16241592,8.810956335,12.14124902,34.00249951,4.696857607,642.2060265
Jaguar_2,47.66666667,98.5,1.166666667,15.39950181,37.72015084,4.656128562,750.659232
Jm_126,47,86.66666667,8.333333333,17.27304682,40.55182406,3.351160741,934.8200052
Jm_24,48.33333333,85.5,6.166666667,16.68763435,39.8824808,3.5744704,847.2478473
Kimberly,45.60128317,91.16666667,6.166666667,14.92415675,37.66876266,3.993425784,997.8691096
Kodiak,47,91,6.833333333,12.23190722,34.90142958,5.026190556,1083.991879
Laker,48.16666667,96.83333333,4.166666667,9.586831424,30.73833606,5.243807534,1069.319352
Lapaz,47.16666667,93.33333333,2.739352683,11.18315239,33.99987298,5.26049769,1377.008826
Lariat,47,88.66666667,3.5,10.88475946,33.43554767,5.295353621,1186.476733
Le_Baron,44,92.66666667,5.333333333,14.26470624,37.30414967,4.225614236,715.3020791
Lighthing,45.83333333,92.33333333,2,12.853913,35.11646183,4.422207574,1219.114891
Loreto,48.5,96,3.5,11.35050402,35.88427375,6.231721765,959.0874707
Mackinac,45.16666667,91.66666667,2.833333333,10.25301106,31.63514813,5.396022627,1086.350289
Mariah,46.16666667,81,5.333333333,12.40320742,34.60382917,4.684275264,1006.501404
Marquis,48.93461651,95.83333333,7.166666667,9.333096333,29.5746994,5.051603799,901.1985319
Matterhorn,45.5,82,3.333333333,10.46764994,29.74122368,4.051208661,1029.852212
Max,43.66666667,97,6,13.63425696,34.71340865,4.379572771,610.0336503
Mayflower,47.83333333,97.33333333,1.333333333,15.56972218,37.64691544,3.404136977,1451.977984
Mchale,45.83333333,87.5,2.5,14.52351433,38.46184984,4.795942769,658.5101555
Medalist,46.83333333,99.5,1.666666667,13.86637924,36.84758265,4.510463102,1263.785462
Medicinehat,45,90.83333333,3.940085635,11.54893915,32.39637969,4.506841163,1475.259887
Merlot,47.5,92.33333333,4.833333333,21.08339419,43.61146393,2.74163959,1130.12591
Michelite,48.33333333,103.1666667,6.833333333,8.006722269,28.23187618,5.975091207,817.0024101
Midland,46.66666667,82.16666667,3.5,14.7198371,38.85572477,4.958193174,841.7242623
Midnight,47.83333333,99.83333333,2.666666667,11.70435382,34.66405513,5.681257292,1253.483526
Montrose,46.16666667,84.5,7.166666667,14.56110065,36.64823292,4.817673382,868.1563145
Morales,48.33333333,102.1666667,4.833333333,14.74004689,38.34674789,4.515707358,1229.1159
Morden_003,46.33333333,87.66666667,4,11.90843413,30.5003013,3.926801447,1308.652386
N05324,47.5,99.66666667,1.313704244,11.26519701,33.4596454,5.063757393,1336.174636
Nautica,49.66666667,97,1.166666667,11.23543146,34.43677546,5.660623059,1394.418432
Navigator,47.33333333,92.83333333,1,11.1466373,35.52389115,6.464842516,1133.523909
Nd_307,45.5,92,4.833333333,10.56400876,30.08577649,3.950951458,1038.367934
Nd021574,46.83333333,96.16666667,2.833333333,10.570713,32.30617099,5.073025915,1053.279051
Nd021717,48.66666667,92.16666667,1.666666667,17.29008019,42.37346617,4.547778449,1000.379759
Nd040494_4,46,88.83333333,5.5,12.39143026,34.17473963,4.337411404,1151.521229
Nd041062_1,46,86.5,1.333333333,8.963717228,29.32112528,5.317406769,1305.839698
Nd060197,44.94569605,90.47331799,4.651727539,9.428191277,30.08918755,5.111206918,1020.461779
Ndz06249,45.5,87.66666667,3.5,11.56427413,32.71013226,4.670846647,1638.355447
Ne1_09_13,47.16666667,83.66666667,2.333333333,8.427674772,27.95756384,4.937830113,1030.959831
Ne1_09_19,47.5,86,5.166666667,9.057871414,29.22641604,5.121038909,818.3831835
Ne1_09_20,43.93461651,85.83333333,3.833333333,9.789457921,30.55165975,4.844579969,1144.561544
Ne1_09_22,43.83333333,83.5,4.666666667,10.70888242,33.20821267,5.356034153,938.5516688
Ne1_09_9,46,80.5,4.666666667,12.90242617,33.32175488,4.045941309,1242.923994
Ne2_09_1,46.50506363,85.83333333,5.333333333,15.33672908,38.17471543,3.774450675,831.9023116
Ne2_09_10,48.16666667,87.66666667,4.5,9.659675814,29.80263684,4.92180919,732.2503744
